id,track,journey,difficulty,resolution_status,act_consensus,diag_consensus,fabrication,act_owl,act_raven,diag_owl,diag_raven,standalone_fix,has_imperative,case_specific,is_template,correct_subsystem,names_mechanism,causal_chain,consistent_with_resolution,case_specific_diagnosis,fabrication_owl,fabrication_raven,fabrication_detail
J1-6,1,J1: First Compile,advanced,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,False,True,True,False,,n/a
J1-7,1,J1: First Compile,intermediate,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J1-8,1,J1: First Compile,intermediate,resolved,2,3,True,2,2,3,3,False,True,True,False,True,True,True,True,False,True,,env_var: TORCHINDUCTOR_TRITON_CODEGEN
J1-9,1,J1: First Compile,intermediate,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,False,False,,n/a
J2-1,1,J2: Performance Diagnosis,intermediate,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J2-10,1,J2: Performance Diagnosis,intermediate,resolved,2,3,False,2,1,3,3,False,True,True,False,True,True,True,True,False,False,,n/a
J2-11,1,J2: Performance Diagnosis,advanced,unresolved,2,3,False,2,2,3,3,False,True,True,False,True,True,False,True,True,False,,n/a
J2-12,1,J2: Performance Diagnosis,intermediate,unresolved,2,3,False,2,2,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J2-13,1,J2: Performance Diagnosis,advanced,unresolved,2,3,False,2,2,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J2-14,1,J2: Performance Diagnosis,beginner,unresolved,2,3,False,2,2,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J2-15,1,J2: Performance Diagnosis,intermediate,unresolved,2,3,False,2,2,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J2-16,1,J2: Performance Diagnosis,intermediate,unresolved,2,3,False,2,2,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J2-17,1,J2: Performance Diagnosis,advanced,unresolved,2,3,False,2,2,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J2-18,1,J2: Performance Diagnosis,intermediate,unresolved,2,3,False,2,1,3,3,False,True,True,False,True,True,False,True,True,False,,n/a
J2-19,1,J2: Performance Diagnosis,intermediate,unresolved,2,1,False,2,1,1,1,False,True,True,False,True,False,False,True,False,False,,n/a
J2-2,1,J2: Performance Diagnosis,advanced,resolved,2,3,False,2,2,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J2-20,1,J2: Performance Diagnosis,advanced,unresolved,3,3,False,3,3,3,3,True,True,True,False,True,True,False,True,True,False,,n/a
J2-3,1,J2: Performance Diagnosis,beginner,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J2-4,1,J2: Performance Diagnosis,intermediate,resolved,2,3,False,2,2,3,3,False,True,True,False,True,True,False,True,True,False,,n/a
J2-5,1,J2: Performance Diagnosis,beginner,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J2-6,1,J2: Performance Diagnosis,beginner,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J2-7,1,J2: Performance Diagnosis,advanced,resolved,2,3,False,2,2,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J2-8,1,J2: Performance Diagnosis,advanced,resolved,2,3,False,2,2,3,3,False,True,True,False,True,True,False,True,True,False,,n/a
J2-9,1,J2: Performance Diagnosis,intermediate,resolved,2,3,False,2,2,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J3-1,1,J3: Correctness & Debugging,advanced,resolved,2,3,False,2,2,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J3-10,1,J3: Correctness & Debugging,advanced,resolved,2,3,False,2,2,3,3,False,True,True,False,True,True,False,True,True,False,,n/a
J3-11,1,J3: Correctness & Debugging,intermediate,unresolved,2,3,False,2,2,3,3,False,True,True,False,False,True,True,True,True,False,,n/a
J3-12,1,J3: Correctness & Debugging,intermediate,unresolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J3-13,1,J3: Correctness & Debugging,intermediate,unresolved,2,3,True,2,1,3,3,False,True,True,False,True,True,True,True,True,True,,triton_subconfig: torch._inductor.config.triton.autotune
J3-14,1,J3: Correctness & Debugging,intermediate,unresolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,False,False,,n/a
J3-15,1,J3: Correctness & Debugging,advanced,unresolved,2,3,False,2,2,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J3-16,1,J3: Correctness & Debugging,intermediate,unresolved,2,3,False,2,1,3,3,False,True,True,False,True,True,True,True,False,False,,n/a
J3-17,1,J3: Correctness & Debugging,intermediate,unresolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J3-18,1,J3: Correctness & Debugging,advanced,unresolved,2,3,False,2,2,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J3-19,1,J3: Correctness & Debugging,advanced,unresolved,2,3,False,2,2,3,3,False,True,True,False,True,True,False,True,True,False,,n/a
J3-2,1,J3: Correctness & Debugging,advanced,resolved,2,3,False,2,2,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J3-20,1,J3: Correctness & Debugging,intermediate,unresolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J3-3,1,J3: Correctness & Debugging,advanced,resolved,2,3,False,2,2,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J3-4,1,J3: Correctness & Debugging,advanced,resolved,2,3,False,2,2,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J3-5,1,J3: Correctness & Debugging,intermediate,resolved,3,2,True,3,3,2,2,True,True,True,False,True,True,False,True,False,True,,triton_subconfig: torch._inductor.config.triton.autotune
J3-6,1,J3: Correctness & Debugging,advanced,resolved,2,3,False,2,2,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J3-7,1,J3: Correctness & Debugging,intermediate,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J3-8,1,J3: Correctness & Debugging,advanced,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J3-9,1,J3: Correctness & Debugging,intermediate,resolved,1,2,False,1,1,2,2,False,True,False,True,True,True,False,True,False,False,,n/a
J4-1,1,J4: Graph Breaks,intermediate,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J4-10,1,J4: Graph Breaks,advanced,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J4-11,1,J4: Graph Breaks,advanced,unresolved,0,3,False,0,0,3,3,False,False,True,False,True,True,True,True,True,False,,n/a
J4-12,1,J4: Graph Breaks,intermediate,unresolved,2,3,True,2,2,3,3,False,True,True,False,True,True,True,True,True,True,,import_claim: from torch.distributed.optim import DDPOptimizer
J4-13,1,J4: Graph Breaks,intermediate,unresolved,2,3,False,2,2,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J4-14,1,J4: Graph Breaks,intermediate,unresolved,2,3,False,2,2,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J4-15,1,J4: Graph Breaks,intermediate,unresolved,2,3,False,2,2,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J4-16,1,J4: Graph Breaks,advanced,unresolved,2,3,False,2,2,3,3,False,True,True,False,True,True,False,True,True,False,,n/a
J4-17,1,J4: Graph Breaks,intermediate,unresolved,3,3,False,3,3,3,3,True,True,True,False,True,True,False,True,True,False,,n/a
J4-18,1,J4: Graph Breaks,advanced,unresolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J4-19,1,J4: Graph Breaks,advanced,unresolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J4-2,1,J4: Graph Breaks,advanced,resolved,3,3,True,3,3,3,3,True,True,True,False,True,True,True,True,True,True,,distributed_optim_api: torch.distributed.optim.DDPOptimizer
J4-20,1,J4: Graph Breaks,beginner,unresolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J4-3,1,J4: Graph Breaks,intermediate,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J4-4,1,J4: Graph Breaks,intermediate,resolved,2,3,False,2,2,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J4-5,1,J4: Graph Breaks,intermediate,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J4-6,1,J4: Graph Breaks,intermediate,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J4-7,1,J4: Graph Breaks,advanced,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J4-8,1,J4: Graph Breaks,advanced,resolved,3,3,True,3,3,3,3,True,True,True,False,True,True,True,True,True,True,,"import_claim: from torch.utils.checkpoint import checkpoint, SAC_checkpoint"
J4-9,1,J4: Graph Breaks,intermediate,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J5-1,1,J5: Performance Optimization,intermediate,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J5-10,1,J5: Performance Optimization,advanced,resolved,3,3,True,3,3,3,3,True,True,True,False,True,True,True,True,True,True,,config_assignment: config.split_large_kernels =
J5-11,1,J5: Performance Optimization,advanced,unresolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J5-12,1,J5: Performance Optimization,intermediate,unresolved,3,3,True,3,3,3,3,True,True,True,False,True,True,True,True,True,True,,triton_subconfig: config.triton.max_block_size; triton_subconfig: config.triton.num_stages
J5-13,1,J5: Performance Optimization,intermediate,unresolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J5-14,1,J5: Performance Optimization,advanced,unresolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J5-15,1,J5: Performance Optimization,advanced,unresolved,3,2,False,3,3,2,2,True,True,True,False,True,True,False,True,False,False,,n/a
J5-16,1,J5: Performance Optimization,advanced,unresolved,2,3,True,2,2,3,3,False,True,True,False,True,True,False,True,True,True,,import_claim: from torch._inductor.select_algorithm import register_template
J5-17,1,J5: Performance Optimization,advanced,unresolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J5-18,1,J5: Performance Optimization,intermediate,unresolved,3,3,True,3,3,3,3,True,True,True,False,True,True,True,True,True,True,,triton_subconfig: config.triton.reduce_block_size
J5-19,1,J5: Performance Optimization,intermediate,unresolved,3,3,True,3,3,3,3,True,True,True,False,True,True,True,True,True,True,,triton_subconfig: config.triton.use_welford_reduction
J5-2,1,J5: Performance Optimization,advanced,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J5-20,1,J5: Performance Optimization,advanced,unresolved,2,2,False,2,1,2,2,False,True,True,False,True,True,False,True,False,False,,n/a
J5-3,1,J5: Performance Optimization,advanced,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J5-4,1,J5: Performance Optimization,intermediate,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J5-5,1,J5: Performance Optimization,advanced,resolved,1,3,True,1,2,3,3,False,True,False,False,True,True,False,True,True,True,,env_var: TORCHINDUCTOR_TRACE
J5-6,1,J5: Performance Optimization,advanced,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J5-7,1,J5: Performance Optimization,intermediate,resolved,3,3,True,3,3,3,3,True,True,True,False,True,True,True,True,True,True,,config_assignment: config.fuse_cross_entropy_linear =
J5-8,1,J5: Performance Optimization,intermediate,resolved,2,3,False,2,2,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J5-9,1,J5: Performance Optimization,intermediate,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J6-1,1,J6: Dynamic Shapes,advanced,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J6-10,1,J6: Dynamic Shapes,beginner,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J6-11,1,J6: Dynamic Shapes,advanced,unresolved,2,3,False,2,2,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J6-12,1,J6: Dynamic Shapes,intermediate,unresolved,2,3,False,2,2,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J6-13,1,J6: Dynamic Shapes,advanced,unresolved,2,3,False,2,1,3,3,False,True,True,False,True,True,False,True,True,False,,n/a
J6-14,1,J6: Dynamic Shapes,advanced,unresolved,2,2,False,2,2,2,2,False,True,True,False,True,True,False,True,False,False,,n/a
J6-15,1,J6: Dynamic Shapes,advanced,unresolved,2,3,False,2,2,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J6-16,1,J6: Dynamic Shapes,advanced,unresolved,2,3,False,2,2,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J6-17,1,J6: Dynamic Shapes,intermediate,unresolved,2,3,False,2,2,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J6-18,1,J6: Dynamic Shapes,intermediate,unresolved,2,3,False,2,2,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J6-19,1,J6: Dynamic Shapes,advanced,unresolved,2,3,False,2,2,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J6-2,1,J6: Dynamic Shapes,intermediate,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J6-20,1,J6: Dynamic Shapes,advanced,unresolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J6-3,1,J6: Dynamic Shapes,intermediate,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J6-4,1,J6: Dynamic Shapes,intermediate,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J6-5,1,J6: Dynamic Shapes,intermediate,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J6-6,1,J6: Dynamic Shapes,intermediate,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J6-7,1,J6: Dynamic Shapes,beginner,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J6-8,1,J6: Dynamic Shapes,advanced,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J6-9,1,J6: Dynamic Shapes,intermediate,resolved,3,3,True,3,3,3,3,True,True,True,False,True,True,True,True,True,True,,env_var: TORCHDYNAMO_INLINE_INBUILT_NN_MODULES
J7-1,1,J7: Compile-Time Performance,advanced,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J7-10,1,J7: Compile-Time Performance,beginner,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J7-11,1,J7: Compile-Time Performance,intermediate,unresolved,2,3,False,2,2,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J7-12,1,J7: Compile-Time Performance,advanced,unresolved,2,2,False,2,2,2,3,False,True,True,False,True,True,False,True,False,False,,n/a
J7-13,1,J7: Compile-Time Performance,intermediate,unresolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J7-14,1,J7: Compile-Time Performance,intermediate,unresolved,3,3,True,3,3,3,3,True,True,True,False,True,True,True,True,True,True,,cpp_subconfig: torch._inductor.config.cpp.vec_isa
J7-15,1,J7: Compile-Time Performance,advanced,unresolved,2,3,False,2,2,3,3,False,True,True,False,True,True,False,True,True,False,,n/a
J7-16,1,J7: Compile-Time Performance,intermediate,unresolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J7-17,1,J7: Compile-Time Performance,advanced,unresolved,2,3,False,2,1,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J7-18,1,J7: Compile-Time Performance,advanced,unresolved,2,2,True,2,1,2,2,False,True,True,False,True,True,False,True,False,True,,functorch_config: torch._functorch.config.use_functionalize
J7-19,1,J7: Compile-Time Performance,intermediate,unresolved,3,3,False,3,3,3,3,True,True,True,False,True,True,False,True,True,False,,n/a
J7-2,1,J7: Compile-Time Performance,advanced,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J7-20,1,J7: Compile-Time Performance,advanced,unresolved,2,3,False,2,2,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J7-3,1,J7: Compile-Time Performance,advanced,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J7-4,1,J7: Compile-Time Performance,intermediate,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J7-5,1,J7: Compile-Time Performance,intermediate,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J7-6,1,J7: Compile-Time Performance,intermediate,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J7-7,1,J7: Compile-Time Performance,beginner,resolved,2,3,False,2,2,3,3,False,True,True,False,True,True,False,True,True,False,,n/a
J7-8,1,J7: Compile-Time Performance,advanced,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J7-9,1,J7: Compile-Time Performance,intermediate,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J8-1,1,J8: Custom & Higher-Order Ops,intermediate,resolved,3,2,True,3,3,2,2,True,True,True,False,True,True,False,True,False,True,,decorator_claim: @op.register_decomposition
J8-10,1,J8: Custom & Higher-Order Ops,advanced,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J8-11,1,J8: Custom & Higher-Order Ops,advanced,unresolved,2,3,True,2,2,3,3,False,True,True,False,True,True,True,True,True,True,,dynamo_config: torch._dynamo.config.output_code
J8-12,1,J8: Custom & Higher-Order Ops,advanced,unresolved,2,3,False,2,2,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J8-13,1,J8: Custom & Higher-Order Ops,advanced,unresolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J8-14,1,J8: Custom & Higher-Order Ops,advanced,unresolved,2,3,False,2,2,3,3,False,True,True,False,True,True,False,True,True,False,,n/a
J8-15,1,J8: Custom & Higher-Order Ops,advanced,unresolved,2,3,False,2,2,3,3,False,True,True,False,True,True,False,True,True,False,,n/a
J8-16,1,J8: Custom & Higher-Order Ops,advanced,unresolved,2,3,False,2,2,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J8-17,1,J8: Custom & Higher-Order Ops,advanced,unresolved,3,3,False,3,3,3,3,True,True,True,False,True,True,False,True,True,False,,n/a
J8-18,1,J8: Custom & Higher-Order Ops,advanced,unresolved,2,3,False,2,2,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J8-19,1,J8: Custom & Higher-Order Ops,advanced,unresolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J8-2,1,J8: Custom & Higher-Order Ops,advanced,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J8-20,1,J8: Custom & Higher-Order Ops,advanced,unresolved,2,3,False,2,2,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J8-3,1,J8: Custom & Higher-Order Ops,advanced,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J8-4,1,J8: Custom & Higher-Order Ops,intermediate,resolved,3,2,True,3,3,2,3,True,True,True,False,True,True,False,True,False,True,,decorator_claim: @op.register_decomposition
J8-5,1,J8: Custom & Higher-Order Ops,advanced,resolved,2,3,False,2,2,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J8-6,1,J8: Custom & Higher-Order Ops,intermediate,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J8-7,1,J8: Custom & Higher-Order Ops,intermediate,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J8-8,1,J8: Custom & Higher-Order Ops,intermediate,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J8-9,1,J8: Custom & Higher-Order Ops,advanced,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J1-1,2,J1: First Compile,beginner,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,False,True,True,False,,n/a
J1-10,2,J1: First Compile,intermediate,resolved,0,1,False,0,0,1,1,False,False,False,False,True,False,False,True,False,False,,n/a
J1-11,2,J1: First Compile,intermediate,unresolved,0,3,False,0,0,3,3,False,False,True,False,True,True,False,True,True,False,,n/a
J1-12,2,J1: First Compile,intermediate,unresolved,0,3,False,0,0,3,3,False,False,False,False,True,True,False,True,True,False,,n/a
J1-13,2,J1: First Compile,intermediate,unresolved,0,1,False,0,0,1,1,False,False,False,False,True,False,False,True,False,False,,n/a
J1-14,2,J1: First Compile,intermediate,unresolved,0,1,False,0,0,1,1,False,False,False,False,True,False,False,True,False,False,,n/a
J1-15,2,J1: First Compile,intermediate,unresolved,0,2,False,0,0,2,2,False,False,False,False,True,True,False,True,False,False,,n/a
J1-16,2,J1: First Compile,intermediate,unresolved,0,1,False,0,0,1,1,False,False,False,False,True,False,False,True,False,False,,n/a
J1-17,2,J1: First Compile,beginner,unresolved,0,2,False,0,0,2,2,False,False,False,False,True,True,False,True,False,False,,n/a
J1-18,2,J1: First Compile,intermediate,unresolved,0,2,False,0,0,2,2,False,False,False,False,True,True,False,True,False,False,,n/a
J1-19,2,J1: First Compile,beginner,unresolved,0,2,False,0,0,2,2,False,False,False,False,True,True,False,True,False,False,,n/a
J1-2,2,J1: First Compile,beginner,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,False,True,True,False,,n/a
J1-20,2,J1: First Compile,intermediate,unresolved,0,1,False,0,0,1,1,False,False,False,False,True,False,False,True,False,False,,n/a
J1-3,2,J1: First Compile,intermediate,resolved,2,3,False,2,2,3,3,False,True,True,False,True,True,False,True,True,False,,n/a
J1-4,2,J1: First Compile,beginner,resolved,1,3,False,1,0,3,3,False,True,False,False,True,True,True,True,False,False,,n/a
J1-5,2,J1: First Compile,beginner,resolved,3,3,False,3,2,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J1-6,2,J1: First Compile,advanced,resolved,0,2,False,0,0,2,2,False,False,False,False,True,False,False,True,True,False,,n/a
J1-7,2,J1: First Compile,intermediate,resolved,0,1,False,0,0,1,1,False,False,False,False,True,False,False,True,False,False,,n/a
J1-8,2,J1: First Compile,intermediate,resolved,0,1,False,0,0,1,1,False,False,False,False,True,False,False,True,False,False,,n/a
J1-9,2,J1: First Compile,intermediate,resolved,3,3,False,3,3,3,3,True,True,True,False,True,True,False,True,True,False,,n/a
J2-1,2,J2: Performance Diagnosis,intermediate,resolved,2,3,False,2,1,3,3,False,True,True,False,True,True,False,True,True,False,,n/a
J2-10,2,J2: Performance Diagnosis,intermediate,resolved,0,1,False,0,0,1,1,False,False,False,False,True,False,False,True,False,False,,n/a
J2-11,2,J2: Performance Diagnosis,advanced,unresolved,0,2,False,0,0,2,2,False,False,False,False,True,False,False,True,True,False,,n/a
J2-12,2,J2: Performance Diagnosis,intermediate,unresolved,0,1,False,0,0,1,1,False,False,False,False,True,False,False,True,False,False,,n/a
J2-13,2,J2: Performance Diagnosis,advanced,unresolved,0,1,False,0,0,1,1,False,False,False,False,True,False,False,True,False,False,,n/a
J2-14,2,J2: Performance Diagnosis,beginner,unresolved,0,2,False,0,0,2,1,False,False,False,False,True,True,False,True,False,False,,n/a
J2-15,2,J2: Performance Diagnosis,intermediate,unresolved,0,1,False,0,0,1,1,False,False,False,False,True,False,False,True,False,False,,n/a
J2-16,2,J2: Performance Diagnosis,intermediate,unresolved,0,1,False,0,0,1,1,False,False,False,False,True,False,False,True,False,False,,n/a
J2-17,2,J2: Performance Diagnosis,advanced,unresolved,0,1,False,0,0,1,2,False,False,False,False,False,True,False,True,False,False,,n/a
J2-18,2,J2: Performance Diagnosis,intermediate,unresolved,0,1,False,0,0,1,1,False,False,False,False,True,False,False,True,False,False,,n/a
J2-19,2,J2: Performance Diagnosis,intermediate,unresolved,0,1,False,0,0,1,1,False,False,False,False,True,False,False,True,False,False,,n/a
J2-2,2,J2: Performance Diagnosis,advanced,resolved,2,2,False,2,2,2,2,False,True,True,False,True,False,False,True,True,False,,n/a
J2-20,2,J2: Performance Diagnosis,advanced,unresolved,0,1,False,0,0,1,1,False,False,False,False,True,False,False,True,False,False,,n/a
J2-3,2,J2: Performance Diagnosis,beginner,resolved,3,3,False,3,2,3,3,True,True,True,False,True,True,True,True,True,False,,n/a
J2-4,2,J2: Performance Diagnosis,intermediate,resolved,0,2,False,0,0,2,2,False,False,False,False,True,False,False,True,True,False,,n/a
J2-5,2,J2: Performance Diagnosis,beginner,resolved,1,3,False,1,1,3,3,False,True,False,False,True,True,False,True,True,False,,n/a
J2-6,2,J2: Performance Diagnosis,beginner,resolved,2,3,False,2,2,3,3,False,True,True,False,True,True,True,True,True,False,,n/a
J2-7,2,J2: Performance Diagnosis,advanced,resolved,0,1,False,0,0,1,1,False,False,False,False,True,False,False,True,False,False,,n/a
